,step,name,type,value,0
0,,,,,0
1,,,,,Episode count
2,,,,,parameter
3,,,,,1
4,,,,,0
5,,,,,Steps per episode
6,,,,,parameter
7,,,,,1300
8,,,,,0
9,,,,,theta
10,,,,,parameter
11,,,,,
12,,,,,0
13,,,,,sigma
14,,,,,parameter
15,,,,,
16,,,,,0
17,,,,,Step time
18,,,,,parameter
19,,,,,0.01
20,,,,,301
21,,,,,Round reward
22,,,,,metric
23,,,,,0.56591796875
24,,,,,301
25,,,,,Per-ep reward
26,,,,,metric
27,,,,,141.74755859375
28,,,,,301
29,,,,,Megabytes sent
30,,,,,metric
31,,,,,0.4244379997253418
32,,,,,301
33,,,,,Round megabytes sent
34,,,,,metric
35,,,,,0.424438
36,,,,,301
37,,,,,Chosen CW
38,,,,,metric
39,,,,,64.0
40,,,,,301
41,,,,,Station count
42,,,,,metric
43,,,,,5.0
44,,,,,301
45,,,,,Current throughput
46,,,,,metric
47,,,,,42.4438
48,,,,,301
49,,,,,Fairness index
50,,,,,metric
51,,,,,0.957285
52,,,,,301
53,,,,,Observation 0
54,,,,,metric
55,,,,,0.5326555101076762
56,,,,,301
57,,,,,loss
58,,,,,metric
59,,,,,0.0019715044495023848
60,,,,,301
61,,,,,Observation 1
62,,,,,metric
63,,,,,0.03756319311631865
64,,,,,301
65,,,,,loss
66,,,,,metric
67,,,,,0.0019715044495023848
68,,,,,302
69,,,,,Round reward
70,,,,,metric
71,,,,,0.521240234375
72,,,,,302
73,,,,,Per-ep reward
74,,,,,metric
75,,,,,142.268798828125
76,,,,,302
77,,,,,Megabytes sent
78,,,,,metric
79,,,,,0.8153679966926575
80,,,,,302
81,,,,,Round megabytes sent
82,,,,,metric
83,,,,,0.39093
84,,,,,302
85,,,,,Chosen CW
86,,,,,metric
87,,,,,64.0
88,,,,,302
89,,,,,Station count
90,,,,,metric
91,,,,,5.0
92,,,,,302
93,,,,,Current throughput
94,,,,,metric
95,,,,,40.768402
96,,,,,302
97,,,,,Fairness index
98,,,,,metric
99,,,,,0.957697
100,,,,,302
101,,,,,Observation 0
102,,,,,metric
103,,,,,0.5326510590314866
104,,,,,302
105,,,,,loss
106,,,,,metric
107,,,,,0.0019715044495023848
108,,,,,302
109,,,,,Observation 1
110,,,,,metric
111,,,,,0.03757664976441066
112,,,,,302
113,,,,,loss
114,,,,,metric
115,,,,,0.0019715044495023848
116,,,,,303
117,,,,,Round reward
118,,,,,metric
119,,,,,0.44677734375
120,,,,,303
121,,,,,Per-ep reward
122,,,,,metric
123,,,,,142.715576171875
124,,,,,303
125,,,,,Megabytes sent
126,,,,,metric
127,,,,,1.1504510045051575
128,,,,,303
129,,,,,Round megabytes sent
130,,,,,metric
131,,,,,0.335083
132,,,,,303
133,,,,,Chosen CW
134,,,,,metric
135,,,,,64.0
136,,,,,303
137,,,,,Station count
138,,,,,metric
139,,,,,5.0
140,,,,,303
141,,,,,Current throughput
142,,,,,metric
143,,,,,38.34837
144,,,,,303
145,,,,,Fairness index
146,,,,,metric
147,,,,,0.958316
148,,,,,303
149,,,,,Observation 0
150,,,,,metric
151,,,,,0.5327641614278158
152,,,,,303
153,,,,,loss
154,,,,,metric
155,,,,,0.0019715044495023848
156,,,,,303
157,,,,,Observation 1
158,,,,,metric
159,,,,,0.037561894285360775
160,,,,,303
161,,,,,loss
162,,,,,metric
163,,,,,0.0019715044495023848
164,,,,,304
165,,,,,Round reward
166,,,,,metric
167,,,,,0.4765625
168,,,,,304
169,,,,,Per-ep reward
170,,,,,metric
171,,,,,143.192138671875
172,,,,,304
173,,,,,Megabytes sent
174,,,,,metric
175,,,,,1.507872998714447
176,,,,,304
177,,,,,Round megabytes sent
178,,,,,metric
179,,,,,0.357422
180,,,,,304
181,,,,,Chosen CW
182,,,,,metric
183,,,,,64.0
184,,,,,304
185,,,,,Station count
186,,,,,metric
187,,,,,5.0
188,,,,,304
189,,,,,Current throughput
190,,,,,metric
191,,,,,37.696827
192,,,,,304
193,,,,,Fairness index
194,,,,,metric
195,,,,,0.95855
196,,,,,304
197,,,,,Observation 0
198,,,,,metric
199,,,,,0.5330602427323659
200,,,,,304
201,,,,,loss
202,,,,,metric
203,,,,,0.0019715044495023848
204,,,,,304
205,,,,,Observation 1
206,,,,,metric
207,,,,,0.037606910341540976
208,,,,,304
209,,,,,loss
210,,,,,metric
211,,,,,0.0019715044495023848
212,,,,,305
213,,,,,Round reward
214,,,,,metric
215,,,,,0.461669921875
216,,,,,305
217,,,,,Per-ep reward
218,,,,,metric
219,,,,,143.65380859375
220,,,,,305
221,,,,,Megabytes sent
222,,,,,metric
223,,,,,1.8541249930858612
224,,,,,305
225,,,,,Round megabytes sent
226,,,,,metric
227,,,,,0.346252
228,,,,,305
229,,,,,Chosen CW
230,,,,,metric
231,,,,,64.0
232,,,,,305
233,,,,,Station count
234,,,,,metric
235,,,,,5.0
236,,,,,305
237,,,,,Current throughput
238,,,,,metric
239,,,,,37.0825
240,,,,,305
241,,,,,Fairness index
242,,,,,metric
243,,,,,0.958702
244,,,,,305
245,,,,,Observation 0
246,,,,,metric
247,,,,,0.5331440642972787
248,,,,,305
249,,,,,loss
250,,,,,metric
251,,,,,0.0019715044495023848
252,,,,,305
253,,,,,Observation 1
254,,,,,metric
255,,,,,0.037626538279088385
256,,,,,305
257,,,,,loss
258,,,,,metric
259,,,,,0.0019715044495023848
260,,,,,306
261,,,,,Round reward
262,,,,,metric
263,,,,,0.521240234375
264,,,,,306
265,,,,,Per-ep reward
266,,,,,metric
267,,,,,144.175048828125
268,,,,,306
269,,,,,Megabytes sent
270,,,,,metric
271,,,,,2.245054990053177
272,,,,,306
273,,,,,Round megabytes sent
274,,,,,metric
275,,,,,0.39093
276,,,,,306
277,,,,,Chosen CW
278,,,,,metric
279,,,,,64.0
280,,,,,306
281,,,,,Station count
282,,,,,metric
283,,,,,5.0
284,,,,,306
285,,,,,Current throughput
286,,,,,metric
287,,,,,37.417583
288,,,,,306
289,,,,,Fairness index
290,,,,,metric
291,,,,,0.958872
292,,,,,306
293,,,,,Observation 0
294,,,,,metric
295,,,,,0.5334285684426625
296,,,,,306
297,,,,,loss
298,,,,,metric
299,,,,,0.0019715044495023848
300,,,,,306
301,,,,,Observation 1
302,,,,,metric
303,,,,,0.03761978032265151
304,,,,,306
305,,,,,loss
306,,,,,metric
307,,,,,0.0019715044495023848
308,,,,,307
309,,,,,Round reward
310,,,,,metric
311,,,,,0.491455078125
312,,,,,307
313,,,,,Per-ep reward
314,,,,,metric
315,,,,,144.66650390625
316,,,,,307
317,,,,,Megabytes sent
318,,,,,metric
319,,,,,2.613646000623703
320,,,,,307
321,,,,,Round megabytes sent
322,,,,,metric
323,,,,,0.368591
324,,,,,307
325,,,,,Chosen CW
326,,,,,metric
327,,,,,64.0
328,,,,,307
329,,,,,Station count
330,,,,,metric
331,,,,,5.0
332,,,,,307
333,,,,,Current throughput
334,,,,,metric
335,,,,,37.337803
336,,,,,307
337,,,,,Fairness index
338,,,,,metric
339,,,,,0.959143
340,,,,,307
341,,,,,Observation 0
342,,,,,metric
343,,,,,0.5336025102933248
344,,,,,307
345,,,,,loss
346,,,,,metric
347,,,,,0.0019715044495023848
348,,,,,307
349,,,,,Observation 1
350,,,,,metric
351,,,,,0.03758287999841439
352,,,,,307
353,,,,,loss
354,,,,,metric
355,,,,,0.0019715044495023848
356,,,,,308
357,,,,,Round reward
358,,,,,metric
359,,,,,0.50634765625
360,,,,,308
361,,,,,Per-ep reward
362,,,,,metric
363,,,,,145.1728515625
364,,,,,308
365,,,,,Megabytes sent
366,,,,,metric
367,,,,,2.9934070110321045
368,,,,,308
369,,,,,Round megabytes sent
370,,,,,metric
371,,,,,0.379761
372,,,,,308
373,,,,,Chosen CW
374,,,,,metric
375,,,,,64.0
376,,,,,308
377,,,,,Station count
378,,,,,metric
379,,,,,5.0
380,,,,,308
381,,,,,Current throughput
382,,,,,metric
383,,,,,37.417587
384,,,,,308
385,,,,,Fairness index
386,,,,,metric
387,,,,,0.959224
388,,,,,308
389,,,,,Observation 0
390,,,,,metric
391,,,,,0.5338121664524078
392,,,,,308
393,,,,,loss
394,,,,,metric
395,,,,,0.0019715044495023848
396,,,,,308
397,,,,,Observation 1
398,,,,,metric
399,,,,,0.03753444625368942
400,,,,,308
401,,,,,loss
402,,,,,metric
403,,,,,0.0019715044495023848
404,,,,,309
405,,,,,Round reward
406,,,,,metric
407,,,,,0.50634765625
408,,,,,309
409,,,,,Per-ep reward
410,,,,,metric
411,,,,,145.67919921875
412,,,,,309
413,,,,,Megabytes sent
414,,,,,metric
415,,,,,3.373168021440506
